Age_Adult,Age_Child,Sex_Female,Sex_Male,Survived,Crew_Member,First_class,Second_class,Third_class
Yes,No,Yes,No,No,Yes,No,No,No
Yes,No,Yes,No,No,Yes,No,No,No
Yes,No,Yes,No,No,Yes,No,No,No
Yes,No,Yes,No,Yes,Yes,No,No,No
Yes,No,Yes,No,Yes,Yes,No,No,No
Yes,No,Yes,No,Yes,Yes,No,No,No
Yes,No,Yes,No,Yes,Yes,No,No,No
Yes,No,Yes,No,Yes,Yes,No,No,No
Yes,No,Yes,No,Yes,Yes,No,No,No
Yes,No,Yes,No,Yes,Yes,No,No,No
Yes,No,Yes,No,Yes,Yes,No,No,No
Yes,No,Yes,No,Yes,Yes,No,No,No
Yes,No,Yes,No,Yes,Yes,No,No,No
Yes,No,Yes,No,Yes,Yes,No,No,No
Yes,No,Yes,No,Yes,Yes,No,No,No
Yes,No,Yes,No,Yes,Yes,No,No,No
Yes,No,Yes,No,Yes,Yes,No,No,No
Yes,No,Yes,No,Yes,Yes,No,No,No
Yes,No,Yes,No,Yes,Yes,No,No,No
Yes,No,Yes,No,Yes,Yes,No,No,No
Yes,No,Yes,No,Yes,Yes,No,No,No
Yes,No,Yes,No,Yes,Yes,No,No,No
Yes,No,Yes,No,Yes,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
Yes,No,No,Yes,No,Yes,No,No,No
