Age_Adult,Age_Child,Sex_Female,Sex_Male,Survived,Crew_Member,First_class,Second_class,Third_class
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,No,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,Yes,Yes,No,No,No,Yes
